iter	Logloss
0	0.6080119374
1	0.5450136373
2	0.489674411
3	0.4416578523
4	0.4004611759
5	0.3664260697
6	0.3346822969
7	0.3049650507
8	0.2817241753
9	0.2616324372
10	0.2434963604
11	0.2262706547
12	0.2102785425
13	0.1981005407
14	0.1857165242
15	0.1746505276
16	0.1639876732
17	0.1543400838
18	0.1463740841
19	0.1383349764
20	0.1323667463
21	0.1268039116
22	0.1207866983
23	0.1156992755
24	0.1109507215
25	0.1044185764
26	0.1008763575
27	0.09609130189
28	0.09286613255
29	0.08980244857
30	0.0870982474
31	0.08332989242
32	0.08059215022
33	0.07850576757
34	0.07625722361
35	0.07314709255
36	0.07100780194
37	0.06899841015
38	0.06638360285
39	0.06428311945
40	0.06253287556
41	0.06081464788
42	0.05925740252
43	0.05754527417
44	0.05614763826
45	0.05483808622
46	0.05359740834
47	0.05217304859
48	0.0510493268
49	0.04976346991
50	0.04861999344
51	0.04747092069
52	0.04631164048
53	0.04524267637
54	0.04422831273
55	0.04322295661
56	0.04245628367
57	0.0414781911
58	0.04071004574
59	0.03984864203
60	0.03920124127
61	0.03844332433
62	0.03756094503
63	0.03698382535
64	0.03627221663
65	0.03558721647
66	0.03500467866
67	0.03436695874
68	0.03387595271
69	0.03336942589
70	0.03278653176
71	0.03221998634
72	0.03168893122
73	0.03121833487
74	0.03076224275
75	0.03024683418
76	0.02984871183
77	0.02934427838
78	0.02888522567
79	0.02840513187
80	0.02798535274
81	0.0275892897
82	0.02716916472
83	0.02679734702
84	0.02642279929
85	0.02594395784
86	0.02564334869
87	0.02528187207
88	0.02493186049
89	0.02465491766
90	0.02433803579
91	0.02400751952
92	0.02377847001
93	0.02355249111
94	0.02333291022
95	0.02309093633
96	0.02285513511
97	0.0226220613
98	0.02237575657
99	0.022112063
100	0.02191858501
101	0.02170771688
102	0.02151861165
103	0.02123792486
104	0.02100965348
105	0.02078179475
106	0.02055932401
107	0.02030717934
108	0.02008757879
109	0.01990709724
110	0.01973035964
111	0.0195151371
112	0.0192882792
113	0.01906723898
114	0.01890608898
115	0.01867113271
