iter	Passed	Remaining
433	2000	700
434	2004	695
435	2008	691
436	2013	686
437	2017	681
438	2022	677
439	2026	672
440	2031	667
441	2035	663
442	2040	658
443	2044	653
444	2049	649
445	2053	644
446	2058	640
447	2062	635
448	2067	630
449	2071	626
450	2076	621
451	2080	616
452	2085	612
453	2089	607
454	2094	602
455	2098	598
456	2103	593
457	2107	589
458	2112	584
459	2116	579
460	2121	575
461	2125	570
462	2130	565
463	2134	561
464	2138	556
465	2143	551
466	2147	547
467	2152	542
468	2156	538
469	2161	533
470	2166	528
471	2171	524
472	2175	519
473	2180	515
474	2184	510
475	2189	505
476	2193	501
477	2198	496
478	2202	492
479	2207	487
480	2212	482
481	2216	478
482	2221	473
483	2225	469
484	2230	464
485	2234	459
486	2238	455
487	2243	450
488	2247	445
489	2252	441
490	2256	436
491	2261	432
492	2265	427
493	2270	422
494	2275	418
495	2279	413
496	2284	409
497	2288	404
498	2293	399
499	2297	395
500	2302	390
501	2306	385
502	2310	381
503	2315	376
504	2319	372
505	2324	367
506	2328	362
507	2333	358
508	2337	353
509	2342	349
510	2346	344
511	2351	339
512	2355	335
513	2360	330
514	2364	326
515	2369	321
516	2373	316
517	2378	312
518	2382	307
519	2387	302
520	2391	298
521	2396	293
522	2400	289
523	2405	284
524	2410	280
525	2415	275
526	2419	270
527	2424	266
528	2428	261
529	2433	257
530	2437	252
531	2442	247
532	2446	243
533	2451	238
534	2456	234
535	2460	229
536	2465	224
537	2469	220
538	2474	215
539	2478	211
540	2483	206
541	2487	201
542	2492	197
543	2496	192
544	2500	188
545	2505	183
546	2509	178
547	2514	174
548	2518	169
549	2523	165
550	2527	160
551	2532	155
552	2536	151
553	2541	146
554	2545	142
555	2550	137
556	2554	133
557	2559	128
558	2563	123
559	2568	119
560	2572	114
561	2577	110
562	2581	105
563	2586	100
564	2591	96
565	2596	91
566	2600	87
567	2605	82
568	2609	77
569	2614	73
570	2618	68
571	2623	64
572	2627	59
573	2632	55
574	2636	50
575	2641	45
576	2645	41
577	2650	36
578	2654	32
579	2658	27
580	2663	22
581	2668	18
582	2672	13
583	2677	9
584	2681	4
585	2686	0
